player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Radim Černický,cz CZE,MF,cz Slovan Liberec,20-012,2001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Cervi,ar ARG,"FW,DF",pt Benfica,26-280,1994,2.0,0.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.6,3.6,0.0,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fyodor Chalov,ru RUS,FW,ru CSKA Moscow,22-326,1998,6.0,3.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,17.0,6.0,35.3,5.5,1.94,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
Matěj Chaluš,cz CZE,DF,cz Slovan Liberec,23-028,1998,3.0,2.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Calum Chambers,eng ENG,DF,eng Arsenal,26-041,1995,3.0,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Yevhen Cheberko,ua UKR,DF,at LASK,23-038,1998,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yevgeni Chernov,ru RUS,DF,ru Krasnodar,28-130,1992,2.0,2.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,7.0,3.0,0.0,0.0,0.0
Alexandru Chipciu,ro ROU,"MF,FW",ro CFR Cluj,31-288,1989,4.0,1.0,165.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,3.0,1.0,33.3,1.64,0.55,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
Chiquinho,pt POR,MF,pt Benfica,25-226,1995,3.0,2.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0
Hamza Choudhury,eng ENG,MF,eng Leicester City,23-152,1997,8.0,5.0,439.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,4.9,4.0,2.0,50.0,0.82,0.41,0.25,0.5,0.0,5.0,6.0,0.0,2.0,7.0,8.0,0.0,0.0,0.0
Tobias Christensen,no NOR,MF,no Molde,20-295,2000,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Ryan Christie,sco SCO,"FW,MF",sco Celtic,26-008,1995,5.0,4.0,390.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.46,0.46,0.0,0.46,4.3,8.0,2.0,25.0,1.85,0.46,0.0,0.0,0.0,10.0,12.0,1.0,12.0,3.0,9.0,0.0,0.0,0.0
Samuel Chukwueze,ng NGA,"MF,FW",es Villarreal,21-284,1999,5.0,4.0,337.0,1.0,2.0,0.0,0.0,0.0,0.0,0.27,0.53,0.8,0.27,0.8,3.7,10.0,4.0,40.0,2.67,1.07,0.1,0.25,0.0,2.0,4.0,1.0,9.0,2.0,3.0,0.0,0.0,0.0
Dmytro Chygrynskiy,ua UKR,DF,gr AEK Athens,34-115,1986,3.0,3.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.0,1.0,100.0,0.37,0.37,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Cicinho,bg BUL,DF,bg Ludogorets,32-066,1988,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,100.0,0.33,0.33,0.0,0.0,0.0,4.0,10.0,1.0,2.0,4.0,5.0,0.0,1.0,0.0
Uğur Çiftçi,tr TUR,DF,tr Sivasspor,28-302,1992,4.0,4.0,360.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,4.0,10.0,0.0,0.0,0.0
Andrejs Ciganiks,lv LVA,DF,ua Zorya Luhansk,23-324,1997,5.0,4.0,375.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.0,1.0,16.7,1.44,0.24,0.0,0.0,0.0,6.0,3.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0
Gojko Cimirot,ba BIH,"MF,DF",be Standard Liège,28-073,1992,5.0,5.0,431.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,2.0,1.0,50.0,0.42,0.21,0.0,0.0,0.0,3.0,2.0,1.0,4.0,4.0,3.0,0.0,0.0,0.0
Denis Ciobotariu,ro ROU,DF,ro CFR Cluj,22-265,1998,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Viktor Claesson,se SWE,"MF,FW",ru Krasnodar,29-059,1992,2.0,2.0,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2.0,3.0,1.0,33.3,1.5,0.5,0.33,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
Jack Clarke,nir NIR,FW,eng Tottenham,20-099,2000,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Alexis Claude-Maurice,fr FRA,"FW,MF",fr Nice,22-269,1998,6.0,4.0,362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,4.0,8.0,2.0,25.0,1.99,0.5,0.13,0.5,0.0,4.0,8.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0
Daniel Cleary,ie IRL,DF,ie Dundalk,24-358,1996,6.0,5.0,442.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Isaac Cofie,gh GHA,MF,tr Sivasspor,29-163,1991,5.0,2.0,259.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.0,1.0,50.0,0.69,0.35,0.0,0.0,0.0,7.0,3.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0
Yonatan Cohen,il ISR,"MF,FW",il Maccabi Tel Aviv,24-246,1996,6.0,5.0,391.0,2.0,0.0,1.0,1.0,1.0,0.0,0.46,0.0,0.46,0.23,0.23,4.3,10.0,5.0,50.0,2.3,1.15,0.1,0.2,0.0,4.0,8.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0
Antonio Čolak,hr CRO,FW,gr PAOK,27-166,1993,5.0,5.0,321.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.0,1.0,25.0,1.12,0.28,0.0,0.0,0.0,11.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Lorenzo Colombo,it ITA,FW,it Milan,18-359,2002,3.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
