player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Filip Nguyen,cz CZE,GK,cz Slovan Liberec,28-160,1992,4.0,4.0,360.0,8.0,2.0,21.0,14.0,66.7,2.0,0.0,2.0,1.0,25.0,1.0,1.0,0.0,0.0
Florin Niță,ro ROU,GK,cz Sparta Prague,33-233,1987,3.0,3.0,270.0,4.0,1.33,17.0,13.0,76.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
David Ospina,co COL,GK,it Napoli,32-174,1988,3.0,3.0,270.0,2.0,0.67,12.0,10.0,83.3,1.0,2.0,0.0,1.0,33.3,1.0,0.0,1.0,0.0
Alexandros Paschalakis,gr GRE,GK,gr PAOK,31-208,1989,1.0,1.0,90.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Philipp Pentke,de GER,GK,de Hoffenheim,35-296,1985,1.0,1.0,90.0,1.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raz Rahamim,il ISR,GK,il Be'er Sheva,24-087,1996,1.0,1.0,90.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0
Álex Remiro,es ESP,GK,es Real Sociedad,25-334,1995,6.0,6.0,540.0,8.0,1.33,20.0,12.0,60.0,1.0,3.0,2.0,2.0,33.3,0.0,0.0,0.0,0.0
Davy Roef,be BEL,GK,be Gent,27-015,1994,3.0,3.0,270.0,9.0,3.0,22.0,14.0,63.6,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
Gary Rogers,ie IRL,GK,ie Dundalk,39-149,1981,5.0,5.0,450.0,15.0,3.0,33.0,19.0,57.6,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
Gerónimo Rulli,ar ARG,GK,es Villarreal,28-277,1992,6.0,6.0,540.0,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0
José Sá,pt POR,GK,gr Olympiacos,28-035,1993,1.0,1.0,90.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
