player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Haris Seferović,ch SUI,FW,Benfica,28-359,1992,16.0,9.0,939.0,8.0,3.0,0.0,0.0,0.0,0.0,0.77,0.29,1.05,0.77,1.05,10.4,32.0,12.0,37.5,3.07,1.15,0.25,0.67,0.0,23.0,10.0,6.0,10.0,0.0,3.0,0.0,0.0,0.0
Edi Semedo,pt POR,FW,Belenenses,22-040,1999,11.0,1.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,4.0,3.0,75.0,2.16,1.62,0.0,0.0,0.0,6.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
Nuno Sequeira,pt POR,DF,Braga,30-180,1990,16.0,14.0,1236.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.15,0.15,0.0,0.15,13.7,5.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,25.0,21.0,1.0,43.0,33.0,16.0,0.0,0.0,0.0
Paulo Sérgio Mota,pt POR,DF,Gil Vicente FC,29-217,1991,3.0,2.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0
Show,ao ANG,MF,Boavista,21-346,1999,18.0,8.0,865.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,9.6,12.0,1.0,8.3,1.25,0.1,0.0,0.0,0.0,21.0,14.0,0.0,3.0,15.0,14.0,0.0,0.0,0.0
Fábio Alexandre da Silva Nunes,pt POR,DF,SC Farense,28-206,1992,16.0,16.0,1440.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,15.0,36.0,0.0,64.0,31.0,23.0,0.0,0.0,0.0
Cauê Cecilio da Silva,br BRA,MF,Belenenses,31-267,1989,12.0,6.0,411.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.0,1.0,25.0,0.88,0.22,0.0,0.0,0.0,12.0,3.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0
Gonçalo Silva,pt POR,DF,Belenenses,29-256,1991,5.0,5.0,447.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,10.0,5.0,0.0,0.0,0.0
João Pedro Sousa Silva,pt POR,FW,Paços,24-094,1996,14.0,0.0,167.0,2.0,0.0,0.0,0.0,2.0,0.0,1.08,0.0,1.08,1.08,1.08,1.9,8.0,4.0,50.0,4.31,2.16,0.25,0.5,0.0,3.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
Leandro Silva,br BRA,MF,Rio Ave,22-030,1999,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Silva,br BRA,FW,Paços,23-016,1998,3.0,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
