player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Dino Arslanagic,be BEL,DF,Gent,27-312,1993,11.0,7.0,703.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1.0,1.0,100.0,0.13,0.13,0.0,0.0,0.0,10.0,4.0,1.0,1.0,16.0,5.0,0.0,0.0,0.0
Gerardo Arteaga,mx MEX,"MF,DF",Genk,22-176,1998,14.0,10.0,916.0,1.0,3.0,0.0,0.0,2.0,0.0,0.1,0.29,0.39,0.1,0.39,10.2,7.0,2.0,28.6,0.69,0.2,0.14,0.5,0.0,9.0,11.0,0.0,19.0,13.0,10.0,0.0,0.0,0.0
Samuel Asamoah,gh GHA,MF,Sint-Truiden,26-344,1994,18.0,14.0,1149.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.8,15.0,2.0,13.3,1.17,0.16,0.0,0.0,1.0,25.0,12.0,1.0,5.0,14.0,18.0,0.0,0.0,0.0
Isaac Asante,be BEL,MF,OH Leuven,18-193,2002,3.0,1.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Majeed Ashimeru,gh GHA,MF,Anderlecht,23-143,1997,1.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Felipe Avenatti,uy URU,FW,Standard Liège,27-310,1993,10.0,5.0,530.0,1.0,1.0,0.0,0.0,1.0,0.0,0.17,0.17,0.34,0.17,0.34,5.9,13.0,5.0,38.5,2.21,0.85,0.08,0.2,0.0,9.0,6.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0
Felipe Avenatti,uy URU,FW,Antwerp,27-310,1993,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marciano Aziz,be BEL,MF,Eupen,19-232,2001,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amara Baby,sn SEN,"FW,MF",Eupen,32-007,1989,19.0,12.0,1106.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.08,0.24,0.16,0.24,12.3,24.0,10.0,41.7,1.95,0.81,0.08,0.2,0.0,40.0,17.0,13.0,11.0,9.0,18.0,0.0,0.0,0.0
Muhammed Badamosi,gm GAM,FW,Kortrijk,22-065,1998,7.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,1.0,20.0,3.31,0.66,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Beni Badibanga,be BEL,"FW,MF",Excel Mouscron,25-011,1996,24.0,10.0,938.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.1,10.4,21.0,6.0,28.6,2.01,0.58,0.0,0.0,0.0,13.0,8.0,3.0,28.0,9.0,9.0,0.0,0.0,0.0
Youssouph Badji,sn SEN,FW,Club Brugge,19-072,2001,20.0,8.0,811.0,3.0,1.0,0.0,0.0,1.0,0.0,0.33,0.11,0.44,0.33,0.44,9.0,21.0,9.0,42.9,2.33,1.0,0.14,0.33,0.0,11.0,10.0,3.0,15.0,1.0,3.0,0.0,0.0,0.0
Marko Bakić,me MNE,MF,Excel Mouscron,27-121,1993,20.0,15.0,1326.0,2.0,1.0,0.0,0.0,7.0,0.0,0.14,0.07,0.2,0.14,0.2,14.7,14.0,3.0,21.4,0.95,0.2,0.14,0.67,0.0,15.0,20.0,0.0,14.0,13.0,21.0,0.0,0.0,0.0
Zakaria Bakkali,be BEL,MF,Anderlecht,25-035,1996,2.0,2.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Michel-Ange Balikwisha,be BEL,"MF,FW",Standard Liège,19-296,2001,22.0,15.0,1340.0,6.0,2.0,0.0,0.0,1.0,0.0,0.4,0.13,0.54,0.4,0.54,14.9,17.0,10.0,58.8,1.14,0.67,0.35,0.6,0.0,15.0,27.0,3.0,28.0,7.0,28.0,0.0,0.0,0.0
William Balikwisha,be BEL,FW,Standard Liège,21-294,1999,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Nelson Balongo,cd COD,FW,Sint-Truiden,21-321,1999,6.0,0.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,1.41,1.41,1.41,0.7,2.0,1.0,50.0,2.81,1.41,0.5,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eike Bansen,de GER,GK,Zulte Waregem,23-009,1998,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felix Bastians,de GER,"DF,MF",Waasland-Bev,32-297,1988,9.0,9.0,798.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,3.0,1.0,33.3,0.34,0.11,0.0,0.0,0.0,8.0,9.0,1.0,20.0,13.0,6.0,0.0,0.0,0.0
Samuel Bastien,be BEL,MF,Standard Liège,24-157,1996,21.0,21.0,1804.0,4.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.2,0.2,0.2,20.0,20.0,3.0,15.0,1.0,0.15,0.2,1.33,0.0,18.0,25.0,1.0,12.0,23.0,17.0,0.0,0.0,0.0
Jelle Bataille,be BEL,"MF,DF",Oostende,21-286,1999,26.0,26.0,2257.0,0.0,4.0,0.0,0.0,10.0,2.0,0.0,0.16,0.16,0.0,0.16,25.1,9.0,3.0,33.3,0.36,0.12,0.0,0.0,2.0,29.0,36.0,4.0,125.0,37.0,39.0,0.0,0.0,0.0
Sheldon Bateau,tt TRI,DF,Mechelen,30-032,1991,7.0,6.0,470.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,1.0,1.0,100.0,0.19,0.19,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0
David Bates,sco SCO,DF,Cercle Brugge,24-148,1996,15.0,15.0,1339.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,14.9,3.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,14.0,4.0,0.0,1.0,18.0,11.0,0.0,0.0,0.0
Dylan Batubinsika,fr FRA,DF,Antwerp,25-015,1996,18.0,16.0,1417.0,2.0,0.0,0.0,0.0,6.0,1.0,0.13,0.0,0.13,0.13,0.13,15.7,9.0,5.0,55.6,0.57,0.32,0.22,0.4,1.0,19.0,6.0,1.0,0.0,26.0,17.0,0.0,0.0,0.0
Nick Bätzner,de GER,MF,Oostende,20-352,2000,14.0,7.0,644.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,7.2,7.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,8.0,2.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0
Andreas Beck,de GER,DF,Eupen,33-354,1987,14.0,1.0,267.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,5.0,4.0,0.0,8.0,4.0,6.0,0.0,0.0,0.0
Alireza Beiranvand,ir IRN,GK,Antwerp,28-162,1992,10.0,10.0,844.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Benavente,pe PER,MF,Charleroi,26-287,1994,3.0,1.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
Cristian Benavente,pe PER,MF,Antwerp,26-287,1994,9.0,1.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,7.0,5.0,71.4,3.5,2.5,0.29,0.4,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Amine Benchaib,ma MAR,MF,Charleroi,22-257,1998,11.0,6.0,616.0,1.0,0.0,0.0,0.0,3.0,0.0,0.15,0.0,0.15,0.15,0.15,6.8,10.0,3.0,30.0,1.46,0.44,0.1,0.33,0.0,17.0,13.0,2.0,8.0,4.0,10.0,0.0,0.0,0.0
