player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
Nicolás Navarro,ar ARG,GK,San Lorenzo,34,1985,11.0,11.0,990.0,18.0,1.64,55.0,38.0,69.1,5.0,1.0,5.0,3.0,27.3,1.0,1.0,0.0,0.0
Marcos Peano,ar ARG,GK,CA Unión,20,1998,3.0,3.0,270.0,5.0,1.67,8.0,3.0,37.5,1.0,1.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0
Luciano Pocrnjic,ar ARG,GK,Aldosivi,37,1981,22.0,22.0,1980.0,35.0,1.59,94.0,62.0,66.0,5.0,4.0,13.0,7.0,31.8,3.0,3.0,0.0,0.0
Roberto Ramírez,ar ARG,GK,Godoy Cruz,23,1996,6.0,6.0,540.0,12.0,2.0,29.0,19.0,65.5,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0
Rodrigo Rey,ar ARG,GK,Godoy Cruz,28,1991,7.0,7.0,630.0,10.0,1.43,29.0,21.0,72.4,3.0,0.0,4.0,2.0,28.6,2.0,2.0,0.0,0.0
Agustín Rossi,ar ARG,GK,Lanús,23,1995,23.0,23.0,2070.0,29.0,1.26,104.0,79.0,74.0,9.0,9.0,5.0,5.0,21.7,4.0,2.0,2.0,0.0
Daniel Sappa,ar ARG,GK,Arsenal,24,1995,11.0,11.0,990.0,14.0,1.27,45.0,34.0,73.3,4.0,5.0,2.0,3.0,27.3,3.0,2.0,1.0,0.0
Antony Silva,py PAR,GK,CA Huracán,35,1984,20.0,20.0,1800.0,23.0,1.15,69.0,48.0,69.6,3.0,7.0,10.0,8.0,40.0,2.0,2.0,0.0,0.0
Sebastián Torrico,ar ARG,GK,San Lorenzo,39,1980,12.0,12.0,1080.0,12.0,1.0,51.0,42.0,80.4,6.0,2.0,4.0,4.0,33.3,4.0,2.0,1.0,1.0
Ezequiel Unsain,ar ARG,GK,Defensa y Just,24,1995,23.0,23.0,2070.0,18.0,0.78,65.0,51.0,76.9,10.0,6.0,7.0,9.0,39.1,5.0,3.0,2.0,0.0
