player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Aaron Leya Iseka,be BEL,FW,Metz,23-092,1997,13.0,7.0,572.0,4.0,0.0,2.0,2.0,4.0,0.0,0.63,0.0,0.63,0.31,0.31,6.4,9.0,5.0,55.6,1.42,0.79,0.22,0.4,0.0,18.0,4.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0
Dimitri Liénard,fr FRA,MF,Strasbourg,33-002,1988,22.0,8.0,915.0,1.0,2.0,1.0,1.0,1.0,0.0,0.1,0.2,0.3,0.0,0.2,10.2,13.0,4.0,30.8,1.28,0.39,0.0,0.0,0.0,8.0,11.0,0.0,32.0,12.0,15.0,0.0,0.0,0.0
Isaac Lihadji,fr FRA,MF,Lille,18-311,2002,14.0,1.0,191.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47,0.0,0.47,2.1,4.0,2.0,50.0,1.88,0.94,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0
Pol Lirola,es ESP,DF,Marseille,23-186,1997,5.0,4.0,385.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,9.0,11.0,6.0,0.0,0.0,0.0
Anthony Lopes,pt POR,GK,Lyon,30-137,1990,25.0,25.0,2250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Rony Lopes,pt POR,"FW,MF",Nice,25-049,1995,19.0,15.0,1186.0,2.0,1.0,0.0,0.0,1.0,0.0,0.15,0.08,0.23,0.15,0.23,13.2,28.0,11.0,39.3,2.12,0.83,0.07,0.18,0.0,12.0,20.0,1.0,20.0,10.0,13.0,0.0,0.0,0.0
Maxime Lopez,fr FRA,"FW,MF",Marseille,23-073,1997,4.0,2.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Jordan Lotomba,ch SUI,DF,Nice,22-139,1998,20.0,18.0,1563.0,1.0,0.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,17.4,6.0,2.0,33.3,0.35,0.12,0.17,0.5,0.0,19.0,30.0,2.0,41.0,13.0,16.0,1.0,0.0,0.0
Imran Louza,fr FRA,MF,Nantes,21-290,1999,20.0,18.0,1459.0,5.0,1.0,4.0,4.0,3.0,1.0,0.31,0.06,0.37,0.06,0.12,16.2,16.0,7.0,43.8,0.99,0.43,0.06,0.14,0.0,24.0,26.0,2.0,16.0,13.0,19.0,0.0,0.0,0.0
Jean Lucas,br BRA,MF,Lyon,22-238,1998,8.0,1.0,172.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,5.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,3.0,4.0,0.0,1.0,0.0
Jean Lucas,br BRA,MF,Brest,22-238,1998,6.0,3.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.0,2.0,28.6,2.01,0.58,0.0,0.0,0.0,2.0,7.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0
Florentino Luís,pt POR,MF,Monaco,21-180,1999,7.0,2.0,218.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0
Yann M'Vila,fr FRA,"MF,FW",Saint-Étienne,30-231,1990,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yvann Macon,fr FRA,DF,Saint-Étienne,22-137,1998,6.0,6.0,539.0,1.0,1.0,0.0,0.0,2.0,0.0,0.17,0.17,0.33,0.17,0.33,6.0,2.0,2.0,100.0,0.33,0.33,0.5,0.5,0.0,11.0,7.0,0.0,13.0,2.0,19.0,0.0,0.0,0.0
Hugo Magnetti,fr FRA,MF,Brest,22-261,1998,6.0,1.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Hicham Mahou,fr FRA,DF,Nice,21-228,1999,2.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
Habib Maïga,ci CIV,MF,Metz,25-045,1996,20.0,20.0,1733.0,1.0,3.0,0.0,0.0,8.0,0.0,0.05,0.16,0.21,0.05,0.21,19.3,18.0,5.0,27.8,0.93,0.26,0.06,0.2,0.0,43.0,26.0,2.0,11.0,18.0,35.0,0.0,0.0,0.0
Mike Maignan,fr FRA,GK,Lille,25-079,1995,25.0,25.0,2250.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Maja,ng NGA,FW,Bordeaux,22-050,1998,17.0,11.0,804.0,2.0,0.0,0.0,0.0,2.0,0.0,0.22,0.0,0.22,0.22,0.22,8.9,19.0,9.0,47.4,2.13,1.01,0.11,0.22,0.0,8.0,12.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0
Radosław Majecki,pl POL,GK,Monaco,21-091,1999,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Majeed Waris,gh GHA,"FW,MF",Strasbourg,29-149,1991,14.0,5.0,479.0,1.0,0.0,1.0,1.0,0.0,0.0,0.19,0.0,0.19,0.0,0.0,5.3,8.0,1.0,12.5,1.5,0.19,0.0,0.0,0.0,8.0,15.0,2.0,8.0,2.0,1.0,0.0,0.0,0.0
Marco Majouga,fr FRA,"FW,MF",Nîmes,19-282,2001,7.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5.0,1.0,20.0,4.29,0.86,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Adilson Malanda,fr FRA,MF,Nîmes,19-109,2001,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hianga Mananga Mbock,fr FRA,MF,Brest,21-049,1999,10.0,4.0,451.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,25.0,0.8,0.2,0.0,0.0,0.0,8.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0
Vincent Manceau,fr FRA,DF,Angers,31-220,1989,18.0,16.0,1499.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,6.0,2.0,33.3,0.36,0.12,0.0,0.0,0.0,12.0,7.0,0.0,32.0,15.0,16.0,0.0,0.0,0.0
Steve Mandanda,fr FRA,GK,Marseille,35-324,1985,22.0,22.0,1980.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reinildo Mandava,mz MOZ,DF,Lille,27-025,1994,16.0,12.0,1062.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.8,1.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,18.0,23.0,2.0,20.0,23.0,25.0,0.0,0.0,0.0
Thomas Mangani,fr FRA,MF,Angers,33-292,1987,23.0,21.0,1764.0,2.0,3.0,2.0,2.0,3.0,0.0,0.1,0.15,0.26,0.0,0.15,19.6,14.0,3.0,21.4,0.71,0.15,0.0,0.0,0.0,15.0,12.0,1.0,25.0,19.0,33.0,0.0,0.0,0.0
Vito Mannone,it ITA,GK,Monaco,32-350,1988,9.0,9.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myziane Maolida,fr FRA,"FW,MF",Nice,22-001,1999,11.0,4.0,477.0,2.0,1.0,0.0,0.0,1.0,0.0,0.38,0.19,0.57,0.38,0.57,5.3,7.0,2.0,28.6,1.32,0.38,0.29,1.0,0.0,6.0,3.0,2.0,8.0,1.0,6.0,0.0,0.0,0.0
Faitout Maouassa,fr FRA,DF,Rennes,22-224,1998,14.0,10.0,813.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,9.0,17.0,6.0,35.3,1.88,0.66,0.0,0.0,0.0,10.0,15.0,0.0,33.0,6.0,13.0,0.0,0.0,0.0
Fernando Marçal,br BRA,DF,Lyon,31-362,1989,1.0,1.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Marcelo,br BRA,DF,Lyon,33-271,1987,23.0,23.0,1918.0,2.0,0.0,0.0,0.0,6.0,1.0,0.09,0.0,0.09,0.09,0.09,21.3,20.0,5.0,25.0,0.94,0.23,0.1,0.4,1.0,24.0,9.0,1.0,2.0,13.0,15.0,0.0,1.0,0.0
Dario Maresic,at AUT,DF,Reims,21-139,1999,6.0,4.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,5.0,6.0,0.0,0.0,0.0
