player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Alberth Elis,hn HON,FW,Boavista,24-365,1996,15.0,12.0,1138.0,3.0,2.0,0.0,0.0,2.0,0.0,0.24,0.16,0.4,0.24,0.4,12.6,16.0,10.0,62.5,1.27,0.79,0.19,0.3,0.0,28.0,21.0,9.0,9.0,4.0,6.0,0.0,0.0,0.0
Ricardo Esgaio,pt POR,"MF,DF",Braga,27-271,1993,18.0,18.0,1610.0,1.0,2.0,0.0,0.0,3.0,0.0,0.06,0.11,0.17,0.06,0.17,17.9,11.0,4.0,36.4,0.61,0.22,0.09,0.25,0.0,29.0,16.0,12.0,64.0,25.0,28.0,0.0,0.0,0.0
Tiago Esgaio,pt POR,"MF,DF",Belenenses,25-194,1995,18.0,18.0,1519.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,16.9,12.0,7.0,58.3,0.71,0.41,0.08,0.14,0.0,22.0,13.0,0.0,30.0,23.0,31.0,0.0,0.0,0.0
Oscar Estupiñan,co COL,FW,Vitória,24-044,1996,7.0,7.0,613.0,6.0,1.0,0.0,0.0,1.0,0.0,0.88,0.15,1.03,0.88,1.03,6.8,15.0,9.0,60.0,2.2,1.32,0.4,0.67,0.0,17.0,7.0,8.0,2.0,3.0,4.0,0.0,0.0,0.0
Stephen Eustáquio,pt POR,MF,Paços,24-052,1996,17.0,17.0,1521.0,2.0,1.0,0.0,0.0,5.0,0.0,0.12,0.06,0.18,0.12,0.18,16.9,13.0,5.0,38.5,0.77,0.3,0.15,0.4,0.0,21.0,24.0,0.0,12.0,30.0,25.0,0.0,0.0,0.0
Evanilson,br BRA,FW,Porto,21-128,1999,7.0,3.0,270.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,9.0,4.0,44.4,3.0,1.33,0.33,0.75,0.0,8.0,12.0,3.0,3.0,1.0,5.0,0.0,0.0,0.0
Ewerton,br BRA,MF,Portimonense,28-072,1992,6.0,6.0,497.0,1.0,0.0,0.0,0.0,3.0,0.0,0.18,0.0,0.18,0.18,0.18,5.5,11.0,1.0,9.1,1.99,0.18,0.09,1.0,0.0,9.0,12.0,1.0,4.0,9.0,7.0,0.0,0.0,0.0
Claudio Falcão,br BRA,"DF,MF",SC Farense,26-223,1994,16.0,13.0,1090.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,12.1,17.0,1.0,5.9,1.4,0.08,0.0,0.0,0.0,28.0,5.0,1.0,5.0,18.0,27.0,0.0,0.0,0.0
Zouhair Feddal,ma MAR,DF,Sporting CP,32-041,1989,16.0,16.0,1394.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.13,0.13,0.0,0.13,15.5,19.0,1.0,5.3,1.23,0.06,0.0,0.0,0.0,29.0,8.0,0.0,9.0,22.0,11.0,0.0,0.0,0.0
Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,23-315,1997,14.0,14.0,1217.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,13.5,2.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,25.0,5.0,2.0,0.0,21.0,13.0,0.0,0.0,0.0
Lucas Fernandes,br BRA,"MF,FW",Portimonense,23-144,1997,7.0,7.0,575.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.31,0.31,0.0,0.31,6.4,7.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,11.0,11.0,1.0,23.0,4.0,9.0,0.0,0.0,0.0
Rúben Fernandes,pt POR,DF,Gil Vicente FC,34-281,1986,17.0,17.0,1530.0,1.0,0.0,0.0,0.0,2.0,0.0,0.06,0.0,0.06,0.06,0.06,17.0,5.0,2.0,40.0,0.29,0.12,0.2,0.5,0.0,9.0,3.0,6.0,7.0,17.0,8.0,0.0,0.0,0.0
Luis Fernando Díaz,co COL,"MF,FW",Porto,24-029,1997,15.0,9.0,876.0,4.0,4.0,0.0,0.0,0.0,0.0,0.41,0.41,0.82,0.41,0.82,9.7,28.0,6.0,21.4,2.88,0.62,0.14,0.67,0.0,30.0,21.0,3.0,5.0,10.0,10.0,0.0,0.0,0.0
Nahuel Ferraresi,ve VEN,DF,Moreirense,22-084,1998,11.0,9.0,924.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,4.0,1.0,25.0,0.39,0.1,0.0,0.0,0.0,11.0,17.0,0.0,6.0,15.0,13.0,0.0,0.0,0.0
Fernando Ferreira Fonseca,pt POR,DF,Paços,23-334,1997,17.0,16.0,1450.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,16.1,2.0,1.0,50.0,0.12,0.06,0.0,0.0,0.0,13.0,22.0,1.0,34.0,32.0,27.0,0.0,0.0,0.0
Filipe Ferreira,pt POR,"DF,MF",Tondela,30-137,1990,16.0,15.0,1251.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,13.9,9.0,2.0,22.2,0.65,0.14,0.11,0.5,0.0,13.0,8.0,0.0,41.0,28.0,12.0,0.0,0.0,0.0
Hélder Ferreira,pt POR,"FW,MF",Paços,23-312,1997,18.0,13.0,1051.0,1.0,3.0,0.0,0.0,3.0,0.0,0.09,0.26,0.34,0.09,0.34,11.7,13.0,4.0,30.8,1.11,0.34,0.08,0.25,0.0,24.0,20.0,6.0,19.0,11.0,15.0,0.0,0.0,0.0
João Ferreira,pt POR,DF,Benfica,19-326,2001,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0
Marcelo dos Santos Ferreira,br BRA,DF,Paços,31-199,1989,14.0,14.0,1215.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,6.0,1.0,16.7,0.44,0.07,0.0,0.0,0.0,20.0,18.0,0.0,1.0,25.0,17.0,0.0,0.0,0.0
