player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-126,1990,13.0,9.0,751.0,2.0,0.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,8.3,14.0,6.0,42.9,1.68,0.72,0.14,0.33,0.0,5.0,8.0,2.0,11.0,7.0,7.0,0.0,0.0,0.0
Sander Berge,no NOR,MF,Sheffield Utd,23-016,1998,13.0,12.0,1016.0,1.0,1.0,1.0,1.0,4.0,0.0,0.09,0.09,0.18,0.0,0.09,11.3,9.0,1.0,11.1,0.8,0.09,0.0,0.0,0.0,12.0,4.0,2.0,18.0,3.0,16.0,0.0,0.0,0.0
Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-145,1997,16.0,11.0,1021.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.18,0.18,0.0,0.18,11.3,12.0,2.0,16.7,1.06,0.18,0.0,0.0,0.0,19.0,16.0,0.0,8.0,9.0,7.0,1.0,0.0,0.0
Bernard,br BRA,"FW,MF",Everton,28-175,1992,7.0,2.0,297.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0.3,0.3,0.3,3.3,4.0,2.0,50.0,1.21,0.61,0.25,0.5,0.0,5.0,5.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0
Bernardo,br BRA,"DF,MF",Brighton,25-292,1995,3.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
Ryan Bertrand,eng ENG,DF,Southampton,31-209,1989,24.0,24.0,2148.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.04,0.04,0.0,0.04,23.9,8.0,3.0,37.5,0.34,0.13,0.0,0.0,0.0,28.0,28.0,3.0,44.0,22.0,37.0,0.0,1.0,0.0
Yves Bissouma,ml MLI,MF,Brighton,24-184,1996,24.0,23.0,2033.0,1.0,0.0,0.0,0.0,6.0,1.0,0.04,0.0,0.04,0.04,0.04,22.6,25.0,2.0,8.0,1.11,0.09,0.04,0.5,0.0,39.0,22.0,0.0,6.0,29.0,46.0,0.0,0.0,0.0
Jayden Bogle,eng ENG,DF,Sheffield Utd,20-218,2000,10.0,7.0,716.0,2.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.25,0.25,8.0,12.0,6.0,50.0,1.51,0.75,0.17,0.33,0.0,8.0,5.0,1.0,8.0,13.0,9.0,0.0,0.0,0.0
Willy Boly,ci CIV,DF,Wolves,30-027,1991,16.0,16.0,1440.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.06,0.12,0.06,0.12,16.0,10.0,3.0,30.0,0.62,0.19,0.1,0.33,0.0,9.0,7.0,0.0,0.0,13.0,20.0,0.0,1.0,0.0
Jarrod Bowen,eng ENG,"FW,MF",West Ham,24-072,1996,26.0,23.0,1837.0,5.0,3.0,0.0,0.0,0.0,0.0,0.24,0.15,0.39,0.24,0.39,20.4,39.0,7.0,17.9,1.91,0.34,0.13,0.71,0.0,11.0,32.0,9.0,41.0,15.0,10.0,0.0,0.0,0.0
