player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,minutes_90s,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals
Zé Luís,cv CPV,FW,Loko Moscow,30-037,1991,6.0,2.0,253.0,1.0,1.0,0.0,0.0,1.0,0.0,0.36,0.36,0.71,0.36,0.71,2.8,10.0,7.0,70.0,3.56,2.49,0.1,0.14,0.0,3.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0
Andrey Lunyov,ru RUS,GK,Zenit,29-109,1991,4.0,3.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yevgeni Lutsenko,ru RUS,FW,Arsenal Tula,34-005,1987,10.0,7.0,550.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.16,0.33,0.16,0.33,6.1,10.0,4.0,40.0,1.64,0.65,0.1,0.25,0.0,7.0,4.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0
Mikhail Lysov,ru RUS,DF,Loko Moscow,23-032,1998,1.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.0,100.0,1.22,1.22,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Vitali Lystsov,ru RUS,DF,Loko Moscow,25-234,1995,3.0,2.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.0,1.0,50.0,0.8,0.4,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0
Ivan Maewski,by BLR,MF,Rotor Volgograd,32-301,1988,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Stanislav Magkeev,ru RUS,MF,Loko Moscow,21-340,1999,15.0,9.0,966.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,5.0,1.0,20.0,0.47,0.09,0.0,0.0,0.0,17.0,9.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0
Hörður Magnússon,is ISL,DF,CSKA Moscow,28-019,1993,18.0,17.0,1515.0,1.0,1.0,0.0,0.0,1.0,1.0,0.06,0.06,0.12,0.06,0.12,16.8,10.0,4.0,40.0,0.59,0.24,0.1,0.25,0.0,19.0,18.0,2.0,7.0,29.0,8.0,0.0,0.0,0.0
Chingiz Magomadov,ru RUS,MF,Ural,22-213,1998,2.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Denis Makarov,ru RUS,"MF,FW",Rubin Kazan,23-012,1998,19.0,11.0,1163.0,4.0,0.0,0.0,0.0,7.0,0.0,0.31,0.0,0.31,0.31,0.31,12.9,62.0,25.0,40.3,4.8,1.93,0.06,0.16,0.0,21.0,27.0,4.0,29.0,23.0,19.0,0.0,0.0,0.0
Sergei Makarov,ru RUS,"MF,DF",Rotor Volgograd,24-150,1996,17.0,17.0,1440.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.06,0.06,0.0,0.06,16.0,8.0,2.0,25.0,0.5,0.12,0.0,0.0,0.0,21.0,12.0,0.0,21.0,17.0,12.0,0.0,0.0,0.0
Georgi Makhatadze,ru RUS,MF,Rostov,22-341,1998,1.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aleksandr Maksimenko,ru RUS,GK,Spartak Moscow,22-348,1998,20.0,20.0,1800.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artem Maksimenko,ru RUS,MF,Ural,22-279,1998,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Malcom,br BRA,"MF,FW",Zenit,24-004,1997,15.0,14.0,1142.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.16,0.08,0.16,12.7,41.0,11.0,26.8,3.23,0.87,0.02,0.09,0.0,12.0,30.0,0.0,47.0,3.0,8.0,0.0,0.0,0.0
Pavel Mamayev,ru RUS,MF,Rostov,32-166,1988,9.0,6.0,541.0,2.0,1.0,0.0,0.0,0.0,0.0,0.33,0.17,0.5,0.33,0.5,6.0,19.0,7.0,36.8,3.16,1.16,0.11,0.29,0.0,2.0,5.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0
Emanuel Mammana,ar ARG,DF,Sochi,25-020,1996,16.0,13.0,1185.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,13.2,3.0,1.0,33.3,0.23,0.08,0.0,0.0,0.0,13.0,5.0,0.0,4.0,25.0,8.0,0.0,0.0,0.0
Armen Manucharyan,am ARM,DF,Rotor Volgograd,26-027,1995,7.0,4.0,304.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.4,2.0,1.0,50.0,0.59,0.3,0.0,0.0,1.0,6.0,3.0,0.0,8.0,3.0,9.0,0.0,0.0,0.0
Konstantin Maradishvili,ru RUS,MF,CSKA Moscow,21-023,2000,17.0,16.0,1367.0,1.0,0.0,0.0,0.0,7.0,0.0,0.07,0.0,0.07,0.07,0.07,15.2,12.0,4.0,33.3,0.79,0.26,0.08,0.25,0.0,25.0,17.0,0.0,21.0,29.0,28.0,0.0,0.0,0.0
Timofei Margasov,ru RUS,"MF,DF",Sochi,28-263,1992,19.0,19.0,1612.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.28,0.28,0.0,0.28,17.9,10.0,1.0,10.0,0.56,0.06,0.0,0.0,0.0,26.0,10.0,2.0,67.0,22.0,20.0,0.0,0.0,0.0
Guilherme Marinato,ru RUS,GK,Loko Moscow,35-080,1985,17.0,17.0,1503.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dmitrii Markitesov,ru RUS,MF,Spartak Moscow,19-345,2001,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yevgeni Markov,ru RUS,FW,Krasnodar,26-238,1994,3.0,2.0,145.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,0.62,1.6,4.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0
Maksim Martusevich,ru RUS,MF,FC Khimki,25-360,1995,6.0,4.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,2.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,7.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
Alyaksandr Martynovich,by BLR,DF,Krasnodar,33-188,1987,17.0,16.0,1484.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.5,12.0,5.0,41.7,0.73,0.3,0.0,0.0,1.0,15.0,10.0,0.0,4.0,45.0,16.0,0.0,0.0,0.0
Pavel Maslov,ru RUS,DF,Spartak Moscow,20-322,2000,18.0,18.0,1541.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,17.1,1.0,0.0,0.0,0.06,0.0,0.0,0.0,1.0,23.0,16.0,0.0,9.0,40.0,24.0,0.0,0.0,0.0
Patricio Matricardi,ar ARG,DF,Rotor Volgograd,27-054,1994,2.0,2.0,175.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Aleks Matsukatov,ru RUS,MF,Krasnodar,22-050,1999,6.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Nikita Medvedev,ru RUS,GK,Rubin Kazan,26-075,1994,4.0,4.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgi Melkadze,ru RUS,"FW,MF",Akhmat Grozny,23-332,1997,16.0,11.0,979.0,2.0,1.0,1.0,2.0,3.0,0.0,0.18,0.09,0.28,0.09,0.18,10.9,30.0,8.0,26.7,2.76,0.74,0.03,0.13,0.0,25.0,14.0,6.0,14.0,5.0,6.0,0.0,0.0,0.0
Dmitrii Merenchukov,ru RUS,MF,Tambov,21-364,1999,2.0,2.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0
Mikhail Merkulov,ru RUS,DF,Rubin Kazan,27-035,1994,9.0,8.0,630.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,20.0,0.71,0.14,0.0,0.0,1.0,6.0,7.0,0.0,16.0,7.0,5.0,0.0,0.0,1.0
Miha Mevlja,si SVN,DF,Sochi,30-263,1990,20.0,20.0,1767.0,3.0,0.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,19.6,7.0,3.0,42.9,0.36,0.15,0.43,1.0,0.0,12.0,21.0,0.0,0.0,26.0,13.0,0.0,0.0,0.0
Beka Mikeltadze,ge GEO,FW,Rotor Volgograd,23-096,1997,12.0,1.0,294.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0,1.0,20.0,1.53,0.31,0.0,0.0,0.0,13.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
Ivan Miladinović,rs SRB,DF,Sochi,26-200,1994,16.0,10.0,1056.0,1.0,0.0,0.0,0.0,4.0,0.0,0.09,0.0,0.09,0.09,0.09,11.7,10.0,4.0,40.0,0.85,0.34,0.1,0.25,0.0,13.0,19.0,0.0,4.0,17.0,11.0,0.0,0.0,0.0
